Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoMeter,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,DVD,BoxOffice,Production,Website
Super Mario Bros.,1993,PG,28 May 1993,104 min,"Adventure, Comedy, Family","Annabel Jankel, Rocky Morton","Parker Bennett, Terry Runte, Ed Solomon","Bob Hoskins, John Leguizamo, Dennis Hopper, Samantha Mathis","Two Brooklyn plumbers, Mario and Luigi must go to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.",English,"UK, USA",2 nominations.,http://ia.media-imdb.com/images/M/MV5BNDc3OTQ1OTkwNV5BMl5BanBnXkFtZTcwMzUzOTUxMQ@@._V1_SX300.jpg,N/A,4.0,"33,685",tt0108255,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sleepaway Camp,1983,R,18 Nov 1983,88 min,"Horror, Thriller",Robert Hiltzik,Robert Hiltzik,"Felissa Rose, Jonathan Tiersten, Karen Fields, Christopher Collet","Slightly traumatized and painfully shy Angela Baker is sent away to summer camp with her cousin. Not long after Angela's arrival, things start to go horribly wrong for anyone with sinister or less than honorable intentions.",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMTI2ODE0MTUwNV5BMl5BanBnXkFtZTYwNTk5NTE5._V1_SX300.jpg,N/A,6.2,"13,255",tt0086320,movie,83,fresh,6.4,18,15,3,N/A,60,3.2,"17,203",08 Aug 2000,N/A,Anchor Bay Entertainment Inc.,http://www.shoutfactory.com/product/sleepaway-camp-collectors-edition-exclusive-poster
Cobra,1986,R,23 May 1986,87 min,"Action, Crime, Horror",George P. Cosmatos,"Paula Gosling (novel), Sylvester Stallone (screenplay)","Sylvester Stallone, Brigitte Nielsen, Reni Santoni, Andrew Robinson",A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far reaching plans.,English,USA,6 nominations.,http://ia.media-imdb.com/images/M/MV5BMTE5OTU4MjkxOV5BMl5BanBnXkFtZTYwNTc1NzQ5._V1_SX300.jpg,N/A,5.5,"41,213",tt0090859,movie,13,rotten,2.7,16,2,14,N/A,42,2.7,"43,607",03 Jul 2001,N/A,Warner Home Video,N/A
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,16 Nov 2012,115 min,"Adventure, Drama, Fantasy",Bill Condon,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",English,USA,19 wins & 11 nominations.,http://ia.media-imdb.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg,52,5.6,"157,850",tt1673434,movie,49,rotten,5.2,177,86,91,"It's the most entertaining Twilight, but that's not enough to make Breaking Dawn Part 2 worth watching for filmgoers who don't already count themselves among the franchise converts.",71,3.8,"290,165",02 Mar 2013,$292.3M,Lionsgate/Summit Entertainment,http://www.breakingdawn-themovie.com/
Liz & Dick,2012,N/A,25 Nov 2012,88 min,"Biography, Drama",Lloyd Kramer,Christopher Monger,"Lindsay Lohan, Grant Bowler, Theresa Russell, David Hunt",The torrid relationship between Elizabeth Taylor and Richard Burton.,English,USA,Nominated for 2 Primetime Emmys. Another 1 win.,http://ia.media-imdb.com/images/M/MV5BMTY2ODQwMTgwNV5BMl5BanBnXkFtZTcwNjkwOTk0OA@@._V1_SX300.jpg,N/A,4.0,"3,255",tt2375255,movie,33,rotten,2.8,6,2,4,N/A,20,2.2,428,14 May 2013,N/A,E1 Entertainment,N/A
Reindeer Games,2000,R,25 Feb 2000,104 min,"Action, Crime, Drama",John Frankenheimer,Ehren Kruger,"Ben Affleck, James Frain, Dana Stubblefield, Mark Acheson","After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",English,USA,3 nominations.,http://ia.media-imdb.com/images/M/MV5BODA3NjUzMzk3MF5BMl5BanBnXkFtZTcwNjczMTIyMQ@@._V1_SX300.jpg,37,5.7,"28,472",tt0184858,movie,25,rotten,4.2,88,22,66,"Despite a decent cast, subpar acting and a contrived plot disappointed reviewers.",27,2.6,"42,853",08 Aug 2000,N/A,Dimension Films,http://www.dimensionfilms.com/mm_front/owa/dim_movie_page.entryPoint?midStr=1333
Anaconda,1997,PG-13,11 Apr 1997,89 min,"Adventure, Horror, Thriller",Luis Llosa,"Hans Bauer, Jim Cash, Jack Epps Jr.","Jennifer Lopez, Ice Cube, Jon Voight, Eric Stoltz","A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",English,"USA, Brazil, Peru",3 wins & 10 nominations.,http://ia.media-imdb.com/images/M/MV5BMTMzMTU5NjcxNl5BMl5BanBnXkFtZTcwMzE2NDU2MQ@@._V1_SX300.jpg,37,4.6,"63,687",tt0118615,movie,38,rotten,4.7,48,18,30,N/A,24,2.5,"421,623",01 Jan 1998,N/A,Sony Pictures Home Entertainment,N/A
The Odd Life of Timothy Green,2012,PG,15 Aug 2012,105 min,"Comedy, Drama, Family",Peter Hedges,"Peter Hedges (screenplay), Ahmet Zappa (story)","Jennifer Garner, Joel Edgerton, CJ Adams, Odeya Rush","A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",English,USA,1 win & 7 nominations.,http://ia.media-imdb.com/images/M/MV5BMTQzODg3MzUyOV5BMl5BanBnXkFtZTcwNzI1MzUyNg@@._V1_SX300.jpg,47,6.6,"32,980",tt1462769,movie,33,rotten,5.2,123,41,82,"It means well, but The Odd Life of Timothy Green is ultimately too cloyingly sentimental -- and thinly scripted -- to satisfy all but the least demanding viewers.",68,3.7,"204,788",04 Dec 2012,$51.9M,Walt Disney Pictures,http://disney.go.com/the-odd-life-of-timothy-green/
Devil's Advocate,1997,R,17 Oct 1997,144 min,"Drama, Mystery, Thriller",Taylor Hackford,"Andrew Neiderman (novel), Jonathan Lemkin (screenplay), Tony Gilroy (screenplay)","Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones",An exceptionally adept Florida lawyer is offered a job to work in New York City for a high-end law firm with a high-end boss - the biggest opportunity of his career to date.,"English, German, Italian, Mandarin, Spanish","USA, Germany",1 win & 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTcyMzI3NDM4Nl5BMl5BanBnXkFtZTcwMTUxOTYzNA@@._V1_SX300.jpg,60,7.5,"225,359",tt0118971,movie,66,fresh,6.4,47,31,16,"Though it is ultimately somewhat undone by its own lofty ambitions, The Devil's Advocate is a mostly effective blend of supernatural thrills and character exploration.",80,3.4,"228,866",16 Nov 1998,N/A,Warner Home Video,N/A
Nothing But Trouble,1991,PG-13,15 Feb 1991,94 min,"Adventure, Comedy, Horror",Dan Aykroyd,"Peter Aykroyd (story), Dan Aykroyd (screenplay)","Chevy Chase, Dan Aykroyd, John Candy, Demi Moore",A businessman finds he and his friends the prisoners of a sadistic judge and his equally odd family in the backwoods of a bizarre mansion.,English,USA,1 win & 6 nominations.,http://ia.media-imdb.com/images/M/MV5BMTgzNDg5NTc2NV5BMl5BanBnXkFtZTcwODA2MjkxMQ@@._V1_SX300.jpg,N/A,4.7,"16,020",tt0102558,movie,9,rotten,2,11,1,10,N/A,41,2.7,"18,255",10 Nov 1998,N/A,Warner Home Video,N/A
From Justin to Kelly,2003,PG,20 Jun 2003,81 min,"Comedy, Musical, Romance",Robert Iscove,Kim Fuller,"Kelly Clarkson, Justin Guarini, Katherine Bailess, Anika Noni Rose","A waitress from Texas and a college student from Pennsylvania meet during spring break in Fort Lauderdale, Florida and come together through their shared love of singing.",English,USA,2 wins & 11 nominations.,http://ia.media-imdb.com/images/M/MV5BMTM1MjI1MDMwMl5BMl5BanBnXkFtZTYwNzk3Njk5._V1_SX300.jpg,14,2.1,"23,048",tt0339034,movie,10,rotten,2.7,63,6,57,"A notorious stinker, From Justin To Kelly features banal songs, a witless plot, and non-existent chemistry between its American Idol-sanctioned leads.",38,2.1,"52,857",26 Aug 2003,$4.6M,20th Century Fox,http://www.fromjustintokelly.com
In the Name of the King: A Dungeon Siege Tale,2007,PG-13,11 Jan 2008,127 min,"Action, Adventure, Drama",Uwe Boll,"Doug Taylor (screenplay), Jason Rappaport (story), Dan Stroncak (story), Doug Taylor (story), Chris Taylor (video game ""Dungeon Siege"")","Jason Statham, Leelee Sobieski, John Rhys-Davies, Ron Perlman","A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son -- two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.",English,"Germany, Canada, USA",4 wins & 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTQ4ODI0ODA1Ml5BMl5BanBnXkFtZTcwNzMzMjU1MQ@@._V1_SX300.jpg,15,3.8,"35,554",tt0460780,movie,4,rotten,2.5,49,2,47,"Featuring mostly wooden performances, laughable dialogue, and shoddy production values, In the Name of the King fulfills all expectations of an Uwe Boll film.",22,2.5,"103,556",15 Apr 2008,$4.5M,Freestyle Releasing,http://www.dungeonsiege-themovie.com
Spice World,1997,PG,23 Jan 1998,93 min,"Comedy, Family, Music",Bob Spiers,"Spice Girls (idea), Kim Fuller (idea), Kim Fuller, Jamie Curtis (additional writing)","Melanie Brown, Emma Bunton, Melanie Chisholm, Geri Halliwell",World famous pop group The Spice Girls zip around London in their luxurious double decker tour bus having various adventures and performing for their fans.,English,UK,1 win & 9 nominations.,http://ia.media-imdb.com/images/M/MV5BMjE2MDcwNjM1OF5BMl5BanBnXkFtZTYwNjQ5Nzg4._V1_SX300.jpg,32,3.3,"26,595",tt0120185,movie,29,rotten,4.6,34,10,24,N/A,44,2.1,"169,105",16 Jun 1998,N/A,Sony Pictures Entertainment,N/A
Street Fighter,1994,PG-13,23 Dec 1994,102 min,"Action, Sci-Fi, Thriller",Steven E. de Souza,Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen, Damian Chapa",Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,"English, Japanese, Esperanto","USA, Japan",2 nominations.,http://ia.media-imdb.com/images/M/MV5BMjE2ODY0NDMyOV5BMl5BanBnXkFtZTcwNDQ4NDAzMQ@@._V1_SX300.jpg,N/A,3.7,"47,814",tt0111301,movie,12,rotten,2.9,25,3,22,"Though it offers mild entertainment through campy one-liners and the overacting of the late Raul Julia, Street Fighter's nonstop action sequences are not enough to make up for a predictable, uneven storyline.",20,2.2,"79,377",26 May 1998,N/A,MCA Universal Home Video,N/A
Stop! Or My Mom Will Shoot,1992,PG-13,21 Feb 1992,87 min,"Action, Comedy",Roger Spottiswoode,"Blake Snyder, William Osborne, William Davies","Sylvester Stallone, Estelle Getty, JoBeth Williams, Roger Rees",A tough detective's mother comes to visit him and begins to meddle in his life and career.,English,USA,3 wins.,http://ia.media-imdb.com/images/M/MV5BMjAwNTY5MjE2M15BMl5BanBnXkFtZTcwNTEzOTQyMQ@@._V1_SX300.jpg,N/A,3.9,"28,567",tt0105477,movie,4,rotten,2.4,24,1,23,N/A,20,2.2,"52,743",20 Jan 2004,N/A,MCA Universal Home Video,N/A
Joyful Noise,2012,PG-13,13 Jan 2012,118 min,"Comedy, Music",Todd Graff,Todd Graff,"Queen Latifah, Dolly Parton, Keke Palmer, Jeremy Jordan","G.G. Sparrow faces off with her choir's newly appointed director, Vi Rose Hill, over the group's direction as they head into a national competition.",English,USA,1 nomination.,http://ia.media-imdb.com/images/M/MV5BMjEwNjAzMzUyN15BMl5BanBnXkFtZTcwMDUxNDQxNw@@._V1_SX300.jpg,44,5.6,"5,875",tt1710396,movie,33,rotten,4.6,120,40,80,"Joyful Noise's musical numbers are solidly entertaining, and it benefits from Queen Latifah and Dolly Parton's sizable chemistry; unfortunately, they aren't enough to make up for the rest of the film.",66,3.7,"28,415",01 May 2012,$30.9M,Warner Bros. Pictures,http://www.joyfulnoisethemovie.com
Fast & Furious 6,2013,PG-13,24 May 2013,130 min,"Action, Crime, Thriller",Justin Lin,"Chris Morgan, Gary Scott Thompson (characters)","Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.","English, Russian, Spanish, Indonesian",USA,8 wins & 18 nominations.,http://ia.media-imdb.com/images/M/MV5BMTM3NTg2NDQzOF5BMl5BanBnXkFtZTcwNjc2NzQzOQ@@._V1_SX300.jpg,61,7.2,"239,912",tt1905041,movie,68,fresh,6.2,183,125,58,"With high-octane humor and terrific action scenes, Fast & Furious 6 builds upon the winning blockbuster formula that made Fast 5 a critical and commercial success.",84,4.2,"338,484",10 Dec 2013,$238.7M,Universal Pictures,http://www.thefastandthefurious.com/
After Earth,2013,PG-13,31 May 2013,100 min,"Action, Adventure, Sci-Fi",M. Night Shyamalan,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)","Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz","A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",English,USA,3 wins & 6 nominations.,http://ia.media-imdb.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg,33,5.0,"137,518",tt1815862,movie,11,rotten,3.8,188,20,168,"After Earth is a dull, ploddingly paced exercise in sentimental sci-fi -- and the latest setback for director M. Night Shyamalan's once-promising career.",37,2.8,"120,233",08 Oct 2013,$60.5M,Sony Pictures,http://afterearth.com/
Howard the Duck,1986,PG,01 Aug 1986,110 min,"Action, Adventure, Comedy",Willard Huyck,"Steve Gerber (Marvel comics character: Howard the Duck), Willard Huyck, Gloria Katz","Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale",A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invader.,English,USA,4 wins & 4 nominations.,http://ia.media-imdb.com/images/M/MV5BMTk2MzczNjA0Ml5BMl5BanBnXkFtZTYwMTI2MTQ5._V1_SX300.jpg,N/A,4.5,"29,707",tt0091225,movie,14,rotten,2.5,43,6,37,"While it has its moments, Howard the Duck suffers from an uneven tone and mediocre performances.",39,2.6,"54,932",10 Mar 2009,N/A,Universal Pictures,N/A
Demolition Man,1993,R,08 Oct 1993,115 min,"Action, Crime, Sci-Fi",Marco Brambilla,"Peter M. Lenkov (story), Robert Reneau (story), Daniel Waters (screenplay), Robert Reneau (screenplay), Peter M. Lenkov (screenplay)","Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,English,USA,1 win & 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTY2MDE1NjQ3MF5BMl5BanBnXkFtZTYwMjI0OTg4._V1_SX300.jpg,34,6.6,"106,608",tt0106697,movie,64,fresh,5.6,36,23,13,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock.",66,3.1,"269,243",30 Sep 1997,N/A,Warner Home Video,N/A
Sharknado,2013,TV-14,11 Jul 2013,86 min,Horror,Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, John Heard, Cassie Scerbo","When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace.",English,USA,1 win & 2 nominations.,http://ia.media-imdb.com/images/M/MV5BOTE2OTk4MTQzNV5BMl5BanBnXkFtZTcwODUxOTM3OQ@@._V1_SX300.jpg,N/A,3.3,"25,535",tt2724064,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Over the Top,1987,PG,13 Feb 1987,93 min,"Action, Drama, Sport",Menahem Golan,"Gary Conway (story), David Engelbach (story), Stirling Silliphant (screenplay), Sylvester Stallone (screenplay)","Sylvester Stallone, Robert Loggia, Susan Blakely, Rick Zumwalt","Lincoln Hawk (Stallone) is a struggling trucker who arm wrestles on the side to make extra cash while trying to rebuild his life. After the death of his wife, he tries to make amends with ...",English,USA,4 wins & 2 nominations.,http://ia.media-imdb.com/images/M/MV5BMjA0MDU0NDcwOV5BMl5BanBnXkFtZTcwMTM0NTY1Mg@@._V1_SX300.jpg,N/A,5.5,"31,224",tt0093692,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crocodile Dundee in Los Angeles,2001,PG,20 Apr 2001,92 min,"Adventure, Comedy",Simon Wincer,"Paul Hogan (characters), Matt Berry, Eric Abrams","Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks",Mick Dundee travels to the city of smog and stars with his young son in tow.,English,"Australia, USA",2 nominations.,http://ia.media-imdb.com/images/M/MV5BNzg3MzQzMjI0M15BMl5BanBnXkFtZTcwOTYyMDcxMQ@@._V1_SX300.jpg,37,4.8,"17,802",tt0231402,movie,11,rotten,3.6,79,9,70,"A family movie without toilet jokes, but there's nothing that haven't seen before.",25,2.4,"171,682",18 Sep 2001,$25.3M,Paramount,http://www.crocodiledundeeinla.com
Gymkata,1985,R,03 May 1985,90 min,"Action, Drama",Robert Clouse,"Charles Robert Carner (screenplay), Dan Tyler Moore (novel)","Kurt Thomas, Tetchie Agbayani, Richard Norton, Edward Bell","Johnathan Cabot is a champion gymnast. In the tiny, yet savage, country of Parmistan, there is a perfect spot for a ""star wars"" site. For the US to get this site, they must compete in the ...",English,"USA, Japan",1 nomination.,http://ia.media-imdb.com/images/M/MV5BNTc2NzAwOTM2MV5BMl5BanBnXkFtZTcwMTA0MjMzMQ@@._V1_SX300.jpg,N/A,4.1,"2,597",tt0089243,movie,18,rotten,2.6,11,2,9,N/A,41,2.7,"3,779",25 Jun 1991,N/A,Warner Home Video,N/A
The Glimmer Man,1996,R,04 Oct 1996,91 min,"Action, Comedy, Crime",John Gray,Kevin Brodbin,"Steven Seagal, Keenen Ivory Wayans, Bob Gunton, Brian Cox","Two cops, played by Seagal and Wayans, are forced to work together to solve a chain of mysterious killings by a killer nicknamed ""The Family Man""",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMTYzMDY2Mzg4MF5BMl5BanBnXkFtZTcwNzAyMTYyMQ@@._V1_SX300.jpg,N/A,5.3,"13,834",tt0116421,movie,13,rotten,3.4,24,3,21,N/A,39,2.7,"20,699",27 Aug 1997,N/A,Warner Home Video,N/A
Toys,1992,PG-13,18 Dec 1992,118 min,"Comedy, Drama, Family",Barry Levinson,"Valerie Curtin, Barry Levinson","Robin Williams, Michael Gambon, Joan Cusack, Robin Wright","When a military general inherits a toy making company and begins making war toys, his employees band together to stop him before he ruins the name of Zevo Toys forever.",English,USA,Nominated for 2 Oscars. Another 9 nominations.,http://ia.media-imdb.com/images/M/MV5BMTg2NDE0NTA0MV5BMl5BanBnXkFtZTcwODg5MjcxMQ@@._V1_SX300.jpg,N/A,5.0,"24,585",tt0105629,movie,26,rotten,4,23,6,17,N/A,40,2.6,"56,596",16 Oct 2001,N/A,Twentieth Century Fox Home Entertainment,N/A
Congo,1995,PG-13,09 Jun 1995,109 min,"Action, Adventure, Mystery",Frank Marshall,"Michael Crichton (novel), John Patrick Shanley (screenplay)","Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry","When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",English,USA,2 wins & 11 nominations.,http://ia.media-imdb.com/images/M/MV5BNjI3MTE5NTMzOF5BMl5BanBnXkFtZTcwMzkyOTAyMQ@@._V1_SX300.jpg,22,5.0,"31,030",tt0112715,movie,22,rotten,3.5,45,10,35,N/A,29,2.6,"60,119",27 Jul 1999,N/A,Paramount Home Video,N/A
Halloween III: Season of the Witch,1982,R,22 Oct 1982,98 min,"Horror, Sci-Fi",Tommy Lee Wallace,Tommy Lee Wallace,"Tom Atkins, Stacey Nelkin, Dan O'Herlihy, Michael Currie",A large Halloween mask-making company has plans to kill millions of American children with something sinister hidden in Halloween masks.,English,USA,1 nomination.,http://ia.media-imdb.com/images/M/MV5BMzg4MTk3MzQ2MV5BMl5BanBnXkFtZTcwODc4ODIyMQ@@._V1_SX300.jpg,N/A,4.4,"24,680",tt0085636,movie,33,rotten,4.5,18,6,12,N/A,24,2.3,"51,502",31 Aug 2004,N/A,MCA Universal Home Video,N/A
Daredevil,2003,PG-13,14 Feb 2003,103 min,"Action, Crime, Fantasy",Mark Steven Johnson,Mark Steven Johnson (screenplay),"Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan",A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,"English, Greek, Italian",USA,4 wins & 16 nominations.,http://ia.media-imdb.com/images/M/MV5BMzU3MDUxNjYwNl5BMl5BanBnXkFtZTYwNzQ3Nzc2._V1_SX300.jpg,42,5.4,"148,699",tt0287978,movie,45,rotten,5.2,214,96,118,"Passable if derivative as entertainment, Ben Affleck fits the role but the film is not up to par with recent superhero films.",36,2.8,"466,672",29 Jul 2003,$102.5M,20th Century Fox,http://www.daredevilmovie.com
Fair Game,1995,R,03 Nov 1995,91 min,"Action, Comedy, Crime",Andrew Sipes,"Paula Gosling (novel), Charlie Fletcher (screenplay)","William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.","English, Russian",USA,3 nominations.,http://ia.media-imdb.com/images/M/MV5BMTQ4NjM0MDI1OF5BMl5BanBnXkFtZTcwMDQ1ODMyMQ@@._V1_SX300.jpg,13,4.1,"9,347",tt0113010,movie,13,rotten,2.4,24,3,21,N/A,14,2.1,"9,359",30 Mar 1999,N/A,Warner Home Video,N/A
Hudson Hawk,1991,R,24 May 1991,100 min,"Action, Adventure, Comedy",Michael Lehmann,"Bruce Willis (story), Robert Kraft (story), Steven E. de Souza (screenplay), Daniel Waters (screenplay)","Bruce Willis, Danny Aiello, Andie MacDowell, James Coburn",A cat burglar is forced to steal Da Vinci works of art for a world domination plot.,"English, Italian",USA,3 wins & 4 nominations.,http://ia.media-imdb.com/images/M/MV5BMTQwMjY3OTM3MF5BMl5BanBnXkFtZTcwMjE0NDYyMQ@@._V1_SX300.jpg,17,5.7,"39,373",tt0102070,movie,24,rotten,3.7,33,8,25,N/A,57,2.9,"43,949",16 Mar 1999,N/A,TriStar Pictures,N/A
Crossroads,2002,PG-13,15 Feb 2002,93 min,"Adventure, Comedy, Drama",Tamra Davis,Shonda Rhimes,"Britney Spears, Anson Mount, Zoe Saldana, Taryn Manning","Three childhood best friends, and a guy they just met, take a road trip across country, finding themselves and their friendship in the process.",English,USA,2 wins & 11 nominations.,http://ia.media-imdb.com/images/M/MV5BMTI4OTkzNjQ0M15BMl5BanBnXkFtZTcwODM5MjcyMQ@@._V1_SX300.jpg,27,3.2,"31,967",tt0275022,movie,14,rotten,3.9,103,14,89,"A cliched and silly pop star vanity project, Crossroads is strictly for Britney fans only.",39,2.2,"359,039",23 Jul 2002,$37.1M,Paramount Pictures,http://www.crossroadsmovie.com
Deck the Halls,2006,PG,22 Nov 2006,93 min,"Comedy, Family",John Whitesell,"Matt Corman, Chris Ord, Don Rhymer","Danny DeVito, Matthew Broderick, Kristin Davis, Kristin Chenoweth",Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,English,USA,1 win & 3 nominations.,http://ia.media-imdb.com/images/M/MV5BMTIzNjA4OTM0OV5BMl5BanBnXkFtZTcwMDgwODkzMQ@@._V1_SX300.jpg,28,4.8,"13,936",tt0790604,movie,6,rotten,2.9,82,5,77,"Relying on flat humor and a preposterous plot, Deck the Halls is an unnecessarily mean-spirited holiday movie that does little to put viewers in a holiday mood.",30,2.8,"55,479",06 Nov 2007,$35.1M,20th Century Fox,http://www.deckthehallsmovie.com/
Jack Frost,1998,PG,11 Dec 1998,101 min,"Comedy, Drama, Family",Troy Miller,"Mark Steven Johnson (story), Mark Steven Johnson (screenplay), Steve Bloom (screenplay), Jonathan Roberts (screenplay), Jeff Cesario (screenplay)","Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy","A father, who can't keep his promises, dies in a car accident. One year later, he returns as a snowman, who has the final chance to put things right with his son before he is gone forever.",English,USA,1 nomination.,http://ia.media-imdb.com/images/M/MV5BMTI5MTY3NDE0NF5BMl5BanBnXkFtZTcwNTc4NjEyMQ@@._V1_SX300.jpg,N/A,5.2,"21,283",tt0141109,movie,20,rotten,3.9,56,11,45,Sentimental schmaltz and uninspired storytelling sink this film.,40,2.8,"64,360",02 Nov 1999,N/A,Warner Bros. Pictures,http://www.wb-jackfrost.com
Mortal Kombat,1995,PG-13,18 Aug 1995,101 min,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Ed Boon (video games), John Tobias (video games), Kevin Droney","Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,English,USA,1 win & 2 nominations.,http://ia.media-imdb.com/images/M/MV5BMjMyMTkwNzcxNF5BMl5BanBnXkFtZTgwOTMxNzYxMTE@._V1_SX300.jpg,58,5.8,"71,732",tt0113855,movie,33,rotten,4.5,30,10,20,"Despite an effective otherwordly atmosphere and appropriately cheesy visuals, Mortal Kombat suffers from its poorly constructed plot, laughable dialogue, and subpar acting.",58,2.9,"310,656",26 Aug 1997,N/A,New Line Home Entertainment,N/A
Double Team,1997,R,04 Apr 1997,93 min,"Action, Comedy, Sci-Fi",Hark Tsui,"Don Jakoby (story), Don Jakoby (screenplay), Paul Mones (screenplay)","Jean-Claude Van Damme, Dennis Rodman, Mickey Rourke, Paul Freeman","Counter-terrorist Jack Quinn misses his target, Stavros, on the eve of his final mission. From there, he is sent to ""The Colony"", a rebirth for presumed-dead assassins. He breaks free from ...",English,USA,3 wins.,http://ia.media-imdb.com/images/M/MV5BMTYwMTI3NTE3Ml5BMl5BanBnXkFtZTcwMDM5NTgxMQ@@._V1_SX300.jpg,N/A,4.6,"22,389",tt0119013,movie,11,rotten,3.8,19,2,17,N/A,24,2.2,"41,510",31 Mar 1998,N/A,Sony Pictures Home Entertainment,N/A
Winter's Tale,2014,PG-13,14 Feb 2014,118 min,"Drama, Fantasy, Mystery",Akiva Goldsman,"Akiva Goldsman (screenplay), Mark Helprin (novel)","Colin Farrell, Matt Bomer, Lucy Griffiths, Michael Patrick Crane","A burglar falls for an heiress as she dies in his arms. When he learns that he has the gift of reincarnation, he sets out to save her.",English,USA,2 nominations.,http://ia.media-imdb.com/images/M/MV5BNTMyNjI1NTM4N15BMl5BanBnXkFtZTgwNjcwMzc1MDE@._V1_SX300.jpg,31,6.2,"30,348",tt1837709,movie,13,rotten,3.6,135,17,118,"Winter's Tale tries to retain the grandiose sweep of its source novel, but fails to fill it in with characters worth rooting for or a sensible plot.",44,3,"24,844",24 Jun 2014,$12.6M,Warner Bros. Pictures,http://www.winterstalemovie.com/
